z,x_norm,T_gas,T_bub,T_sol,P_emul,F_emul,F_bub,C_react,X_solid,X_gas,db,db_max,delta,y_emul_H2,y_bub_H2,y_emul_H2O,y_bub_H2O,y_emul_N2,y_bub_N2,y_emul_O2,y_bub_O2,y_emul_CO2,y_bub_CO2,w_Fe2O3,w_Fe3O4,w_FeO,w_Fe,w_Al2O3,X_prod,flow_mass,dens_mass_particle,particle_porosity,delta_e,u_solid
0.0,0.0,600.0,600.0000000000002,1073.0,96600.0,25.46048079517517,934.5395192048248,4.066408324069513,0.0,-1.409807015397024e-14,0.044409364460382204,7.734600325550932,0.7560806239173964,1e-05,1e-05,1e-05,1e-05,0.79,0.79,0.21,0.21000000000000002,1e-05,1e-05,0.0,1e-05,1e-05,1.0,0.0,0.0,10.0,5747.853058153506,0.27,0.24391937608260375,5.242974534625228e-05
0.25,0.05,854.2452122442548,850.1014936613924,876.855031774741,94318.17275821474,17.460396449490965,930.5681126584168,0.3777049885444443,8.935416598252134,5.952525244093429,0.14054258273755474,8.974822602799298,0.7164822219928254,1.2311063273337295e-05,1.0085284276207382e-05,1.2299583075197076e-05,1.0085499680977995e-05,0.9715201797178792,0.7967572307902668,0.02844291351548631,0.20321251286112213,1.2296120285897315e-05,1.0085564653840452e-05,0.12302823743360544,9.630006197752392e-06,9.630006197752392e-06,0.876952502553999,6.2946244314856015e-18,8.935282488657306,10.384209308546957,5968.690923063774,0.1953566421298237,0.2835177780071746,5.242974534625228e-05
0.5,0.1,915.8288653892629,913.9195265574806,921.6902219168678,91717.8947764303,15.837311430358065,927.9956103291385,0.1623453334541551,12.05945093787912,8.0336697621546,0.23779484634560244,9.320261325339443,0.6810385085073779,1.2528045392313717e-05,1.0131071029715621e-05,1.251290123022053e-05,1.0131329482243572e-05,0.9864841778444021,0.8004097590406833,0.013478272871114451,0.19955984715144323,1.2508337860850277e-05,1.0131407361385543e-05,0.1639224628991511,9.5070878206017e-06,9.5070878206017e-06,0.8360585229252078,3.506250078562477e-18,12.059269940377654,10.518468103696119,6045.860905691984,0.16925954742277693,0.3189614914926221,5.242974534625228e-05
0.75,0.15,952.9814544609569,951.3198088756285,956.5050830993144,88910.34302260715,14.753986864069725,926.4888346389854,0.09328613343854364,13.988039588825444,9.318441714754524,0.33552707157809714,9.58243400473404,0.6583058737040731,1.2604542842800621e-05,1.016097808036541e-05,1.2587949636806301e-05,1.0161242320941351e-05,0.9916487333625899,0.8027827209639428,0.008313491192394676,0.19718679549375792,1.2582952535710919e-05,1.0161321897900255e-05,0.18865097589393331,9.432759754670311e-06,9.432759754670311e-06,0.8113301585865574,3.097654082029405e-18,13.987829645584316,10.601351311902244,6093.500955867699,0.15314878960034886,0.34169412629592705,5.242974534625228e-05
1.0,0.2,978.6573227592311,977.1032606031127,981.1739756634621,85958.50786071847,13.889915083990704,925.5458808212755,0.05778060966325829,15.333550848938893,10.21478377714969,0.43356529487981876,9.813213797554011,0.6426947212367478,1.2646015890851634e-05,1.0182475129988068e-05,1.2628710788084728e-05,1.0182734832303135e-05,0.9944924700334903,0.8044837100661761,0.005469631738617337,0.19548574191084775,1.2623501213409371e-05,1.0182813013786477e-05,0.20567548457548754,9.381588105004368e-06,9.381588105004366e-06,0.7943057522483026,2.9492413365251406e-18,15.333320711231401,10.65917613103148,6126.737812214614,0.14190885720294413,0.35730527876325224,5.242974534625228e-05
1.25,0.25,997.5766954017186,996.1041005521643,999.5124649803681,82904.09892894654,13.142285095885788,924.9530342497519,0.03693888117134699,16.331669695238286,10.879702705536875,0.5318864106400778,10.03106162548424,0.6317605553242951,1.267165706698836e-05,1.019885888351106e-05,1.2653919547625086e-05,1.019911090877908e-05,0.9962663981414792,0.8057779750608708,0.003695627700753897,0.19419142778257692,1.2648581152128238e-05,1.0199186759890408e-05,0.21818564531555384,9.34398551836708e-06,9.34398551836708e-06,0.7817956667134093,2.8429572873591142e-18,16.331424576996614,10.702071380939598,6151.3933715510775,0.13357092002653168,0.3682394446757049,5.242974534625228e-05
1.5,0.3,1012.0871565647604,1010.6846657954551,1013.6474546444578,79777.40944841076,12.465307806890666,924.5967091073946,0.02415698483713411,17.101066685623316,11.392253514739476,0.630534823052142,10.244915792404576,0.6242074827974208,1.2688349093796276e-05,1.021184234161933e-05,1.2670286919407652e-05,1.0212085853802745e-05,0.9974138857359779,0.8068024918924818,0.0025480907761581454,0.19316687202019384,1.2664851850778634e-05,1.021215912878063e-05,0.22776083005981942,9.315204775945347e-06,9.315204775945347e-06,0.7722205395306285,2.7535040630624633e-18,17.100810019680694,10.735137058742875,6170.399037279227,0.12714364556584493,0.37579251720257933,5.242974534625228e-05
1.75,0.35,1023.5240549560212,1022.18495992426,1024.8241234697089,76601.83148280472,11.835372768330101,924.4089339713715,0.016193925527295962,17.709933681618182,11.797863720386058,0.729590992335471,10.459904419165365,0.6192596913153668,1.2699532767047852e-05,1.0222419914443672e-05,1.268117957380845e-05,1.0222654893656326e-05,0.9981628853874394,0.8076364720540975,0.0017990582424255394,0.19233286014550444,1.2675657794243046e-05,1.0222725589986813e-05,0.23529650340124836,9.292554322799375e-06,9.292554322799375e-06,0.7646849114901062,2.6777341897056352e-18,17.70966787733206,10.761303784329543,6185.439286647746,0.1220573827623539,0.3807403086846332,5.242974534625228e-05
2.0,0.4,1032.7166449135937,1031.4363825503588,1033.8273211469907,73396.24698826073,11.239148882144711,924.3457085198246,0.011162111926268987,18.200959658493478,12.124971526800762,0.8291576321014557,10.679372005004641,0.6164142096217922,1.2707286007717537e-05,1.0231216344170068e-05,1.268863948972766e-05,1.0231443067775629e-05,0.9986560873168815,0.8083295553446717,0.0013058337273963514,0.1916397504846456,1.2683030224769624e-05,1.0231511271006737e-05,0.2413470694401313,9.274367751226943e-06,9.274367751226943e-06,0.7586343818243664,2.614803943063826e-18,18.200686484512378,10.782406163136969,6197.568623904003,0.11795552278610791,0.38358579037820784,5.242974534625228e-05
2.25,0.45,1040.273366375262,1039.0401869769792,1041.2478291799994,70176.46630577561,10.668042637809293,924.3735468692018,0.007965604215449276,18.60547693307951,12.394449649299984,0.929355219047548,10.905928813116502,0.6153356670375631,1.2712760910348552e-05,1.0238695986724888e-05,1.2693824928430483e-05,1.0238914523768892e-05,0.9989801372389198,0.8089184722282143,0.0009817680459455482,0.19105081118101894,1.2688129295708618e-05,1.0238980256126697e-05,0.2463138864599993,9.259438673081442e-06,9.259438673081442e-06,0.7536675946626546,2.5629168936417235e-18,18.6051976877925,10.799790735775641,6207.561020804591,0.11457632637600401,0.38466433296243685,5.242974534625228e-05
2.5,0.5,1046.7175406454887,1045.502631688746,1047.6062501713784,66956.15746308966,10.115836410704045,924.4626286692068,0.005953846983224129,18.950319381498424,12.624174067504523,1.0303218429717929,11.141960020120576,0.6157997858433734,1.2716475474081943e-05,1.0245262405055793e-05,1.2697308850918536e-05,1.0245472133841415e-05,0.9991880196410652,0.8094349671300028,0.0007738750301181736,0.19053429660024832,1.2691544491623797e-05,1.0245535209745005e-05,0.2505353846183888,9.246749847291082e-06,9.246749847291082e-06,0.7494461218819164,2.519709786429264e-18,18.950034960551104,10.814610717442854,6216.079328499358,0.11169563267771636,0.38420021415662664,5.242974534625228e-05
