z,x_norm,T_gas,T_bub,T_sol,P_emul,F_emul,F_bub,C_react,X_solid,X_gas,db,db_max,delta,y_emul_H2,y_bub_H2,y_emul_H2O,y_bub_H2O,y_emul_N2,y_bub_N2,y_emul_O2,y_bub_O2,y_emul_CO2,y_bub_CO2,w_Fe2O3,w_Fe3O4,w_FeO,w_Fe,w_Al2O3
0.0,0.0,1050.0,1049.9999999999998,1173.9000000000003,96600.0,14.548846168671526,285.45115383132844,10.954406097493383,0.0,0.0,0.03456787964119525,6.0205485121255125,0.6525482754244127,0.9900000000000001,0.9900000000000001,1e-05,1e-05,0.01,0.01,1e-05,1e-05,1e-05,1e-05,1.0,1e-05,1e-05,1e-05,0.0
0.25,0.05,1091.746033020659,1091.523836905858,1092.2994159353889,94362.35273991912,13.668406891615158,286.3405931083848,1.4112896916556859,68.96401433218857,11.779827349843771,0.09984638825741844,6.181058488117156,0.5413263344366521,0.1357604335840982,0.9085623561116258,0.8542099746570356,0.08141841668855798,0.010009572628216718,0.00999922874163565,1.0009572658414144e-05,9.999228740193553e-06,1.0009557990901489e-05,9.99922944034413e-06,0.32875468786235074,0.5071466542787726,0.09027608864713053,0.07382256921152201,2.2408984623254857e-13
0.5,0.1,1080.0465949449747,1080.0676109578842,1080.0183355412419,91900.29812280348,13.455974594245689,286.55302540575434,0.8148757067557851,84.59216078965859,16.198929533950707,0.16348793868502914,6.221311467259715,0.4838451601526808,0.07962530843062422,0.864823335248194,0.9103394717704215,0.1251576941502136,0.010015189440297622,0.009998972655332011,1.0015189385203435e-05,9.998972657918534e-06,1.0015169271566483e-05,9.998973602415937e-06,0.16692381055716712,0.5784794440046995,0.14447613387932115,0.1101206115584948,3.175899599153155e-13
0.75,0.15,1071.2245235777286,1071.2642026002509,1071.1882592773536,89308.95707186854,13.184244901156063,286.8247550988439,0.6689176792416612,90.86221523714482,18.944439602255116,0.22593005028270996,6.274993825853968,0.448952098592105,0.06671021618027256,0.8362440350419367,0.9232521555022462,0.15373708967289051,0.010017593154876674,0.00999887752902511,1.0017593068658009e-05,9.998877532987629e-06,1.001756953587982e-05,9.998878614700087e-06,0.1004153100342727,0.5824948210895319,0.18047729875763976,0.136612570118197,3.585878684220586e-13
1.0,0.2,1064.4023929033253,1064.4521128245142,1064.369514232124,86635.004780599,12.871476102512462,287.1375238974875,0.5901898897281495,93.96949211357874,20.892790595958612,0.2874562100025114,6.338709522944868,0.42554004515929306,0.060289042858664786,0.8155409288798054,0.9296721947422714,0.17444022624533007,0.010018724975179702,0.00999884717933744,1.001872487632589e-05,9.998847183768035e-06,1.0018699007961144e-05,9.998848343365826e-06,0.06695056196587132,0.5696968765320964,0.2060542535631199,0.15729830793853247,3.7982169734316056e-13
1.25,0.25,1058.7994936534326,1058.8584260934188,1058.7700539672267,83906.45857512728,12.532062541400453,287.4769374585995,0.5507951796712552,95.74703265511117,22.42085972297485,0.34827255037603966,6.410418853859028,0.40904729270065304,0.05778866337389233,0.7989713453527275,0.932185269300478,0.19100923283662483,0.010006055237744678,0.009999422963735507,1.000605517588051e-05,9.999422966431451e-06,1.000603270916471e-05,9.999423945829275e-06,0.047600081212167224,0.5524991193258331,0.22518012263820092,0.17472067682340645,3.9216970108482815e-13
1.5,0.3,1054.2211493506238,1054.2846838906237,1054.195241192921,81141.21670035768,12.17168752890916,287.8373124710908,0.5108186762657407,96.83574426774972,23.63320249883812,0.40854639505155294,6.489426701097949,0.39721298191183674,0.05518120263373612,0.7856442873271889,0.9348001699713825,0.20433596793186262,0.009998630153048476,0.009999745249667897,9.998630130231478e-06,9.999745250631658e-06,9.998611702559089e-06,9.999746029876949e-06,0.03564483204711324,0.5351677137036007,0.24001568050824784,0.18917177374063845,3.9980971062895736e-13
1.75,0.35,1050.4107461860015,1050.4772006934122,1050.387721571537,78351.95971978943,11.795921423765204,288.2130785762347,0.4775690855796319,97.5476270563193,24.621990904417714,0.4684204601837943,6.575315707997564,0.38874260208165384,0.05323284576802943,0.7745823251701822,0.9367532146036118,0.2153977396857655,0.009993951739873337,0.009999935272892923,9.99395175043235e-06,9.99993527245952e-06,9.993936735179878e-06,9.999935887000468e-06,0.02777258772560334,0.5189736990014379,0.2519147976488871,0.201338915623667,4.047037115676469e-13
2.0,0.4,1047.1850698235828,1047.2536003861796,1047.164329355157,75548.21734586268,11.40885741651724,288.6001425834828,0.4495589356083899,98.03778314729409,25.44681166993249,0.5280206377953307,6.667820615978499,0.3828286856295309,0.05181076919004842,0.7651828085916192,0.9381784080470303,0.2247971410903553,0.00999084109310046,0.010000050217102366,9.99084113041144e-06,1.0000050215626014e-05,9.990828690398953e-06,1.000005070740099e-05,0.022320753933021048,0.5042256467473651,0.2617202552828812,0.21173334403632482,4.0791936987266946e-13
2.25,0.45,1044.415626950501,1044.4857069375712,1044.3966966863434,72737.50802327834,11.013533951080912,288.99546604891907,0.4253844443361229,98.38936629382818,26.147014709588007,0.587461901241332,6.766875717648179,0.37894443523684085,0.050784447571523415,0.7570501124677629,0.9392068896006326,0.23292976752229047,0.009988685467433025,0.01000011977000551,9.988685525590671e-06,1.0000119767787626e-05,9.988674885315537e-06,1.0000120173285445e-05,0.018391008212278258,0.49090891289631433,0.2699793171450199,0.2207207617459775,4.1006542165343714e-13
2.5,0.5,1042.0101829580813,1042.0814538464556,1041.9926964375056,69926.01219011746,10.612281547409143,289.3967184525908,0.40409456877690086,98.6500205980575,26.749691395634173,0.6468522947790987,6.8725621543202475,0.37673247977369406,0.05006686518241783,0.7499120724169761,0.9399260181321704,0.2400677667610148,0.009987142409943604,0.010000160500664768,9.987142484036154e-06,1.0000160497946138e-05,9.987132984169117e-06,1.0000160846309671e-05,0.015465302702795607,0.4789047516751326,0.27706176928480986,0.22856817633685042,4.1150601717364463e-13
2.75,0.55,1039.9008371639277,1039.9730419011405,1039.8845095083557,67118.9959779679,10.206947568429783,289.8020524315702,0.385040792252155,98.84857814418466,27.274189436210104,0.7062957949375649,6.9850763534248435,0.37594369804520916,0.04960065411303043,0.7435743960075891,0.9403933646954272,0.24640542142212735,0.009986009181915268,0.010000182205564732,9.986009267927302e-06,1.000018220253361e-05,9.986000359091778e-06,1.0000182516306463e-05,0.01322840712656103,0.46807014676649705,0.2832261321229814,0.23547531398354807,4.1246876265654863e-13
3.0,0.6,1038.0364472407089,1038.109393698949,1038.0210539269185,64321.09154943552,9.799042352811393,290.2099576471885,0.36776433796103825,99.0032938456498,27.73475264262042,0.7658944897278733,7.104712112954853,0.3764014574094376,0.049347254511840494,0.7378941458473262,0.9406476151840847,0.2520856628126503,0.009985159992677827,0.010000190957817947,9.985160087318361e-06,1.0000190954620527e-05,9.985151309680599e-06,1.0000191251000585e-05,0.011479780581911889,0.4582668988979685,0.28865844889090875,0.24159487162879772,4.13101316908921e-13
3.25,0.65,1036.3777099506792,1036.451249032525,1036.3630710116774,61536.49063680354,9.389836870103107,290.6191631298968,0.35192910155144513,99.1261724340199,28.14213642219194,0.8257503393388577,7.231851345340202,0.3779796502773863,0.04928045447817388,0.7327635146429478,0.9407150627970686,0.25721629430054177,0.009984513706181712,0.01000019067487523,9.98451380672158e-06,1.0000190671624855e-05,9.984504769108024e-06,1.000019096362803e-05,0.010086990328703995,0.44937121442444133,0.2934959524908077,0.2470458427556336,4.1350250284120146e-13
3.5,0.7,1034.8938820082935,1034.9678938122163,1034.8798505351829,58769.08327136825,8.98042993130349,291.02857006869647,0.3372814039057496,99.22536696021108,28.50463784164743,0.8859666829086387,7.366960602561891,0.38058864772283707,0.049382546939872124,0.7280994751053701,0.9406134687699298,0.2618803405554784,0.009984016267093613,0.01000018397091868,9.984016371231163e-06,1.00001839677032e-05,9.984006733285307e-06,1.0000184265106641e-05,0.008959758756371864,0.4412756855962426,0.2978420347211436,0.25192252092582806,4.137651855458369e-13
3.75,0.75,1033.5605388265526,1033.6349235224543,1033.5469925954621,56022.56067180249,8.571795766273818,291.4372042337262,0.32362488972065334,99.30657011460764,28.82877589567519,0.9466496002122312,7.510591749819258,0.38416600644007953,0.04964197649092856,0.723836942028687,0.9403544255831121,0.26614288498300515,0.009983630674940019,0.010000172642718587,9.983630780694962e-06,1.0000172639605964e-05,9.98362023842878e-06,1.0000172949676715e-05,0.008034840638240715,0.43388840409922413,0.30177601811600985,0.2563007371461115,4.139093444124707e-13
4.0,0.8,1032.3580070743453,1032.4326786414429,1032.3448423866666,53300.49397456737,8.164818602968289,291.8441813970316,0.3108042546219186,99.37385342709943,29.119754507333674,1.0079092048376928,7.66338587928633,0.38867013673781275,0.05005186181827446,0.7199241175033033,0.9399448405015571,0.2700557242224717,0.009983331029623788,0.010000157957987001,9.983331135254063e-06,1.0000157955029582e-05,9.983319409468964e-06,1.0000158283077616e-05,0.007266864940237309,0.42713114038584216,0.305359714873528,0.26024227979997844,4.139680607363744e-13
4.25,0.85,1031.2702453679024,1031.345127122152,1031.2573724499437,50606.39621690007,7.760318424002312,292.24868157599764,0.29869432738428386,99.43019088912705,29.381785988775132,1.0698609265290886,7.826079991817445,0.39407586916599074,0.05060905592655275,0.7163192391332349,0.9393878790180866,0.27366061975214084,0.009983098870584685,0.010000140832614735,9.98309897452086e-06,1.0000140829852502e-05,9.98308580142385e-06,1.0000141179648532e-05,0.0066225999071566665,0.4209373699782444,0.30864193895386705,0.26379809116031805,4.1396692550046683e-13
4.5,0.9,1030.2840296782706,1030.359050940495,1030.2713691822405,47943.77236569807,7.359070588237607,292.64992941176234,0.287192522805411,99.47779551264946,29.6183222511336,1.1326268294833404,7.999516252006154,0.40037126310568516,0.05131355208815666,0.7129882562472842,0.9386835612268529,0.27699162156545537,0.009982920857949426,0.010000121943005418,9.98292095874199e-06,1.0000121940468437e-05,9.982906082147968e-06,1.0000122314560125e-05,0.006077254879073237,0.4152504441425785,0.3116616788614213,0.2670106221165131,4.139248101752964e-13
4.75,0.95,1029.3883501447392,1029.4634436422245,1029.375830431008,45316.160510324466,6.961821078481762,293.0471789215182,0.2762134866208495,99.51834140098529,29.832223468293208,1.1963370075445368,8.18465381126687,0.40755523410077693,0.05216812256519216,0.7099031354933619,0.937829124611417,0.280076762503412,0.009982787265502672,0.01000010179923227,9.982787361778495e-06,1.000010179694257e-05,9.982770526398115e-06,1.0000102196894914e-05,0.005612032842465762,0.41002199801026523,0.3144503729391591,0.2699155962076961,4.138557916014135e-13
5.0,1.0,1028.5739572443588,1028.649056980912,1028.5615122198546,42727.16621126069,6.569298541346093,293.4397014586538,0.2656852075030651,99.55311373670484,30.025883386402423,1.2611310947710497,8.382583333850663,0.415635714383947,0.05317812175182077,0.7070406027316739,0.9368192219054898,0.2829393163124686,0.009982690979604025,0.010000080793847298,9.982691070029122e-06,1.0000080791820334e-05,9.982672015439844e-06,1.0000081218399582e-05,0.005212472876084009,0.405210604959289,0.3170335703656161,0.272543351798597,4.1377046467868067e-13
