z,x_norm,T_gas,T_bub,T_sol,P_emul,F_emul,F_bub,C_react,X_solid,X_gas,db,db_max,delta,y_emul_H2,y_bub_H2,y_emul_H2O,y_bub_H2O,y_emul_N2,y_bub_N2,y_emul_O2,y_bub_O2,y_emul_CO2,y_bub_CO2,w_Fe2O3,w_Fe3O4,w_FeO,w_Fe,w_Al2O3,X_prod,flow_mass,dens_mass_particle,particle_porosity,delta_e,u_solid
0.0,0.0,1173.9,1173.9000000000003,1173.9,96600.0,0.0008981472711804926,0.019807178172606486,9.798216545164028,0.0,0.0,0.03622313488865175,0.13662610097940114,0.6734444753117264,0.9900000000000001,0.99,1e-05,1e-05,0.01,0.01,1e-05,1e-05,1e-05,1e-05,1.0,1e-05,1e-05,1e-05,0.0,0.0014297098235088092,0.0006901775147928993,3832.400231973527,0.27,0.3265555246882736,7.863439460535641e-05
0.05,0.05,1167.834505417417,1167.8154696652318,1168.59919552028,96221.40163550818,0.0008992737322573606,0.01980667287129293,0.7321983248218443,59.160604724648415,7.30464331342548,0.05745262717497146,0.136549160664894,0.6205223516530978,0.07388776672306245,0.955965765466639,0.9160773299559077,0.0340152254209311,0.01001487355994288,0.009999011090882238,1.0014873652546973e-05,9.999011086677753e-06,1.0014887434481595e-05,9.999010460942585e-06,0.4230687983146342,0.47311646045873534,0.07850876288925575,0.025305978337374878,3.0079550477659193e-19,3.4925235153542884,0.0006662375587392034,3699.467050049814,0.30049088324488016,0.3794776483469021,7.863439460535641e-05
0.1,0.1,1163.1206061229846,1163.0864870531907,1163.2344572805782,95818.12872860774,0.0008991343345933407,0.019806812268956954,0.36333916714899916,75.67562723572874,10.051068495270904,0.07398501356093322,0.13653191379857244,0.5902500699513262,0.036671060210180635,0.9292259830611742,0.953107841355254,0.060763460080177335,0.010200696886589582,0.009990575714220096,1.0200697934655777e-05,9.990575666642897e-06,1.0200850041268562e-05,9.99056876173179e-06,0.2554381262239225,0.5787791197240495,0.12902267951992616,0.03676007453210193,5.416205587283959e-19,5.0047249553363535,0.0006572290280826751,3649.4447090754356,0.3142382553948818,0.4097499300486737,7.863439460535641e-05
0.15,0.15,1157.7824210661988,1157.7745461745951,1157.7312841821265,95399.99175589281,0.0008993381584691477,0.019806608445081142,0.3312559387889294,84.45381398773549,12.145910583379536,0.08686587859762271,0.1365205128413534,0.5706586922727638,0.03342538915518134,0.9077025832067145,0.9562669579246174,0.08229079219115326,0.010287078485786924,0.009986651312105774,1.028708039253355e-05,9.986651225528099e-06,1.0287354021861985e-05,9.986638801124547e-06,0.16498033879121493,0.6144376393047671,0.17201306735957547,0.04856895454444244,6.888763828919248e-19,6.543322490408518,0.0006503579823551795,3611.291340303553,0.32606960046322253,0.4293413077272362,7.863439460535641e-05
0.2,0.2,1152.3670016401547,1152.3765239775514,1152.2547732935132,94972.59415307418,0.0008995164541847995,0.019806430149365496,0.32731442776635766,89.64047118220192,13.928774481394424,0.09690427076011876,0.1365105419759523,0.5571682509024349,0.03302112361440315,0.8892774168115148,0.9566278041589884,0.10071793320026878,0.01033041103506022,0.009984680643708858,1.0330413592520947e-05,9.98468052756082e-06,1.0330777955664092e-05,9.98466397987201e-06,0.11093559024050852,0.6195536739911959,0.2083693965218395,0.06114133924645616,8.070720406836098e-19,8.163040533475362,0.0006445103720449205,3578.820877807753,0.3368878334129213,0.442831749097565,7.863439460535641e-05
0.25,0.25,1147.0396709595448,1147.0750082105287,1146.9038959618513,94539.58667211533,0.000899573788525364,0.01980637281502493,0.3345655557973576,92.88325045532876,15.528639610295118,0.10473593991005839,0.13653542759441792,0.5476731648218487,0.033750495384069774,0.8726892336702047,0.9560149782645111,0.11730082401705459,0.010214097790075378,0.009989962404544096,1.0214100309402072e-05,9.989962290120318e-06,1.0214461034258915e-05,9.989945906574014e-06,0.07683566665057587,0.6099217867033251,0.23874388838565397,0.07449865826044508,9.180238340994592e-19,9.865410723795991,0.000639263082922425,3549.683863605953,0.34701835715627266,0.45232683517815125,7.863439460535641e-05
0.3,0.3,1141.9423490526972,1141.9836602336018,1141.7994138424417,94103.18956114167,0.0008994182523267214,0.01980652835122357,0.34415670585908836,94.97764021743066,16.99009582993233,0.11084472738449384,0.1365454968799843,0.540688334340152,0.03472404069662775,0.8575134603966079,0.95511719863367,0.13247315499290102,0.010138483377879726,0.009993397829593197,1.0138485604488695e-05,9.993397728482472e-06,1.0138806218110115e-05,9.993383169356413e-06,0.054633328053242905,0.5932827399272346,0.263746525263169,0.08833740675635345,1.015031142158841e-18,11.610280464432638,0.0006344698221114065,3523.067966318182,0.35650662081009893,0.459311665659848,7.863439460535641e-05
0.35,0.35,1137.085066369562,1137.1294796193781,1136.9428025195912,93665.02011464513,0.00089905447496739,0.019806892128582904,0.35691633298990627,96.37424572456015,18.349206677552104,0.11561342852926887,0.1365688332640459,0.53555995950073,0.03602600728770301,0.8433737311481073,0.9538659884659034,0.14661057768700975,0.010087828316424895,0.009995699777734396,1.0087830179790093e-05,9.995699693154422e-06,1.0088099788818212e-05,9.99568745533328e-06,0.039720083996137724,0.5735939430877508,0.28414045135264326,0.10254552156346834,1.103323524286731e-18,13.382979387673236,0.0006300122817756719,3498.3162491866456,0.36545845413570294,0.46444004049927,7.863439460535641e-05
0.4,0.4,1132.4582735833856,1132.504156874271,1132.3198587106021,93226.22409343142,0.0008984986271896822,0.019807447976360613,0.3722438890552911,97.33118775579277,19.629803460853953,0.11934002005169676,0.13660439694377371,0.5317743767528234,0.03759636666213978,0.8300272393241713,0.9523298682754229,0.1599555137743442,0.010053657974058624,0.00999725238638882,1.0053659169646423e-05,9.997252332154999e-06,1.0053429209012454e-05,9.997262763550008e-06,0.02943301448054508,0.5529109589089931,0.30060568590339143,0.11705034070707039,1.1861691850177654e-18,15.174132106988887,0.0006258122841523131,3474.994608708574,0.37396033781322857,0.4682256232471767,7.863439460535641e-05
0.45,0.45,1128.0434264245264,1128.0898047396793,1127.9100784007385,92787.62675270256,0.0008977714294934086,0.019808175174056884,0.3897160698190936,98.00224060327444,20.847968014262637,0.12225642609724356,0.1366508776399394,0.5289793684672387,0.03939292701718001,0.8173106797157448,0.9505571760743061,0.17267098952490118,0.010029837632202455,0.009998334073125958,1.0029838421831368e-05,9.998334037337409e-06,1.0029437889484032e-05,9.998352190776324e-06,0.022173862264719527,0.5323107825626551,0.31371758335740985,0.13179777181521554,1.2663158083205179e-18,16.9768771464478,0.000621817074141388,3452.81010770053,0.3820796391405971,0.4710206315327612,7.863439460535641e-05
