reactor,knob,value,abs_flow,path,X_solid,X_gas,T_gas_out,T_solid_out,Ts_in,n_bad,err_mass,gas_feasible,banner_ok,valid,term,X_prod,w_out_Fe2O3,w_out_Fe3O4,w_out_FeO,w_out_Fe,Tg_in,H
dry,H,0.5,,walk,15.890469571402372,10.585787492300373,986.6962023658251,996.1213533597647,1073.0,0,0.0005306867693688588,True,True,True,optimal,15.890231075030943,0.21266814731055048,9.360569813326386e-06,9.36056981332639e-06,0.787313131549823,600.0,0.5
dry,H,0.52,,walk,16.16350099558943,10.767673409653353,991.855802593604,1001.2674239308958,1073.0,0,0.0005306867693688588,True,True,True,optimal,16.163258401352696,0.2160848923834007,9.35029988505323e-06,9.350299885053434e-06,0.7838964070168295,600.0,0.52
dry,H,0.54,,walk,16.433927719917836,10.9478284593274,996.9586803177102,1006.3659367306717,1073.0,0,0.0005329019818684585,True,True,True,optimal,16.433687504205533,0.21946173934909816,9.34230972538771e-06,9.343459665190004e-06,0.7805195738336577,600.0,0.54
dry,H,0.56,,walk,16.702028416970734,11.126425353131356,1002.0099614036084,1011.4206378731004,1073.0,0,0.0005306867693521857,True,True,True,optimal,16.70177774010086,0.22280215322949215,9.330109386500822e-06,9.330109386501e-06,0.7771791865517349,600.0,0.56
dry,H,0.58,,walk,16.967922800530076,11.303556773137679,1007.0130800682318,1016.4327024768979,1073.0,0,0.0005306867693688588,True,True,True,optimal,16.96766813291299,0.22610807040903777,9.320172580708083e-06,9.320172580707987e-06,0.7738732892458009,600.0,0.58
dry,H,0.6,,walk,17.231710744448268,11.479284941970068,1011.970232375624,1021.4025021307649,1073.0,0,0.000530686649122083,True,True,True,optimal,17.23145211761617,0.22938084683766707,9.310335387973135e-06,9.310335387973042e-06,0.7706005324915575,600.0,0.6
dry,H,0.62,,walk,17.493517436573715,11.65369325584185,1016.8842905177559,1026.3309993492544,1073.0,0,0.0005306867694688978,True,True,True,optimal,17.493254880428736,0.23262221831401247,9.300592591641482e-06,9.300592591641484e-06,0.7673591805008044,600.0,0.62
dry,H,0.64,,walk,17.753252310458283,11.826721409636361,1021.7540538908162,1031.2151786947747,1073.0,0,0.0005306758082716656,True,True,True,optimal,17.752985856020768,0.23583124246296666,9.290947023948943e-06,9.290947023948947e-06,0.764150175642985,600.0,0.64
dry,H,0.66,,walk,18.010904351971536,11.998361984043978,1026.579765555204,1036.0537572347255,1073.0,0,0.0005306867681183723,True,True,True,optimal,18.010634030486738,0.23900796372254116,9.281398550071351e-06,9.281398550071356e-06,0.7609734734803588,600.0,0.66
dry,H,0.68,,walk,18.266411306002272,12.168573588302275,1031.3606440668302,1040.84478742031,1073.0,0,0.0005306867693355126,True,True,True,optimal,18.26613714967245,0.24215179545712973,9.271948934858398e-06,9.27194893485836e-06,0.7578296606450008,600.0,0.68
dry,H,0.7,,walk,18.519705979804442,12.337311433194532,1036.095739165361,1045.5865830316732,1073.0,0,0.000530686769385532,True,True,True,optimal,18.519428021833676,0.24526209430490392,9.26260011161181e-06,9.262600111611814e-06,0.7547193804948729,600.0,0.7
dry,H,0.72,,walk,18.770743420562397,12.504545572408185,1040.7844377503268,1050.278231652558,1073.0,0,0.0005306867693188394,True,True,True,optimal,18.77046169482884,0.24833849335206587,9.253353183396436e-06,9.253353183396436e-06,0.7516429999415671,600.0,0.72
dry,H,0.74,,walk,19.019607501434493,12.670331879762905,1045.428457120664,1054.921541678342,1073.0,0,0.0005306867699357461,True,True,True,optimal,19.0193220405157,0.25138220157698093,9.244204517723076e-06,9.244204519060753e-06,0.7485993100139804,600.0,0.74
dry,H,0.76,,walk,19.265787269064624,12.83432997280366,1050.0183732579626,1059.5074399004827,1073.0,0,0.0005306867697023219,True,True,True,optimal,19.26549811333291,0.2543871638319166,9.235172309270212e-06,9.23517230927021e-06,0.7455943658234648,600.0,0.76
dry,H,0.78,,walk,19.5098252971577,12.99690531486773,1054.5645766080318,1064.046742074008,1073.0,0,0.0005328826067148694,True,True,True,optimal,19.509538491731924,0.2573602657027311,9.228539723851275e-06,9.229712726500686e-06,0.7426212750760486,600.0,0.78
dry,H,0.8,,walk,19.751717325118406,13.158043018925724,1059.0663685783716,1068.5399109258549,1073.0,0,0.0005306867694522246,True,True,True,optimal,19.7514208761706,0.2603014059962483,9.217395495047082e-06,9.217395495047082e-06,0.7396801592127616,600.0,0.8
dry,H,0.82,,walk,19.991332751637074,13.317668130937662,1063.5220009704187,1072.985323446491,1073.0,0,0.0005306867693688588,True,True,True,optimal,19.991032706361636,0.26320938526258547,9.208654796703464e-06,9.208654796703464e-06,0.736772197427821,600.0,0.82
dry,H,0.84,,walk,20.22907419502955,13.476044847658109,1067.938770598792,1077.3910367373371,1073.0,0,0.0005306867693688588,True,True,True,optimal,20.22877058154787,0.2660891762996496,9.199998825419568e-06,9.199998825419568e-06,0.7338924237026994,600.0,0.84
dry,H,0.86,,walk,20.465237944551966,13.63337360040532,1072.3222354160093,1081.7628441941474,1073.0,0,0.0005326596346788879,True,True,True,optimal,20.464936219271372,0.268944567843258,9.18761402980279e-06,9.185276759087538e-06,0.7310370598687439,600.0,0.86
dry,H,0.88,,walk,20.700652116274775,13.790196902003776,1076.6876931823695,1086.1171528340437,1073.0,0,0.0005306867692188005,True,True,True,optimal,20.700341424989496,0.271785466733717,9.18287712236678e-06,9.18287712234845e-06,0.7281961675120385,600.0,0.88
dry,H,0.9,,cold,20.971087971373663,13.970353723642631,1081.6976988150195,1091.1139069785158,1073.0,0,0.0005306867693521857,True,True,True,optimal,20.97077322117882,0.2750425636024795,9.173087058981159e-06,9.173087058981157e-06,0.7249390902234027,600.0,0.9000000000000004
dry,H,0.92,,walk,21.224750553099863,14.139336658529917,1086.3920809051056,1095.7964559219604,1073.0,0,0.0005306867694022052,True,True,True,optimal,21.224431995742417,0.2780913393306563,9.163923159617242e-06,9.163923159617243e-06,0.7218903328230246,600.0,0.92
dry,H,0.94,,walk,21.438216874158076,14.281541966015624,1090.3387748307925,1099.7344672714694,1073.0,0,0.0005306867693355126,True,True,True,optimal,21.43789511293422,0.28065227933222836,9.156225579230037e-06,9.156225579230037e-06,0.7193294082166134,600.0,0.94
dry,H,0.96,,walk,21.650840931123472,14.423186180661821,1094.2665372355352,1103.6543516095398,1073.0,0,0.0005306867693688588,True,True,True,optimal,21.650515978674736,0.28319884144258395,9.148571215477101e-06,9.148571215477101e-06,0.7167828614149852,600.0,0.96
dry,H,0.98,,walk,21.862604188320304,14.564256954514768,1098.175079887371,1107.555833080961,1073.0,0,0.0005306867692021273,True,True,True,optimal,21.86227605756528,0.2857308655241868,9.140960549080651e-06,9.140960549080655e-06,0.7142508525547154,600.0,0.98
dry,H,1.0,,walk,22.073530747729254,14.704770343649873,1102.064905218392,1111.4394027032595,1073.0,0,0.0005306867692854931,True,True,True,optimal,22.073199451227143,0.28824870096273275,9.133392531209352e-06,9.133392531209352e-06,0.7117330322522047,600.0,1.0
