reactor,knob,value,abs_flow,path,X_solid,X_gas,T_gas_out,T_solid_out,Ts_in,n_bad,err_mass,gas_feasible,banner_ok,valid,term,X_prod,w_out_Fe2O3,w_out_Fe3O4,w_out_FeO,w_out_Fe,Tg_in
dry,T_gas,600.0,,cold,20.971087971373663,13.970353723642631,1081.6976988150195,1091.1139069785158,1073.0,0,0.0005306867693521857,True,True,True,optimal,20.97077322117882,0.2750425636024795,9.173087058981159e-06,9.173087058981157e-06,0.7249390902234027,600.0
dry,T_gas,750.0,,walk,19.80373083457024,13.19269296778765,1175.3194704368893,1185.061011672728,1073.0,0,0.0005306867652172439,True,False,False,optimal,19.803433604968237,0.2609331123501665,9.215496735039448e-06,9.215496735039444e-06,0.7390484566563634,750.0
dry,T_gas,850.0,,walk,18.30138106311293,17.937481140496516,1230.5546892909056,1240.6082043640693,1073.0,0,0.9592727925706501,True,False,False,optimal,12.785947785297903,0.1678080501751653,0.03113328769770247,0.028263365181874233,0.7560795016777669,850.0
dry,T_gas,923.0,,walk,17.766911537282727,11.835820772081181,1274.1779402787115,1284.3960919743217,1073.0,0,0.0005306867964127122,True,False,False,optimal,17.766644875973462,0.2359998179625194,9.290440325440998e-06,9.290440325441001e-06,0.7639816011568297,923.0
dry,T_gas,973.0,,walk,21.187661445486487,12.273352084989412,1315.016381897218,1325.1046502810193,1073.0,0,1.6171483262136936,True,False,False,infeasible,16.722756261158107,0.22306333730871858,7.5326786141682085e-06,9.343726853669865e-06,0.7769197140914725,973.0
dry,T_gas,1023.0,,walk,,,,,,,,,,False,LADDER_STOPPED,,,,,,
dry,T_gas,1073.0,,walk,,,,,,,,,,False,LADDER_STOPPED,,,,,,
dry,T_gas,1123.0,,walk,,,,,,,,,,False,LADDER_STOPPED,,,,,,
dry,T_gas,1173.9,,walk,,,,,,,,,,False,LADDER_STOPPED,,,,,,
dry,T_gas,1223.0,,walk,,,,,,,,,,False,LADDER_STOPPED,,,,,,
