reactor,knob,value,abs_flow,path,X_solid,X_gas,T_gas_out,T_solid_out,Ts_in,n_bad,err_mass,gas_feasible,banner_ok,valid,term,X_prod,Tg_in
dry,gas_flow,0.5,0.033128520710059166,walk,19.011620675932463,25.330022549713068,1346.7270361153387,1352.4547720236362,1073.0,0,0.0008387748205474234,True,False,False,optimal,19.011620675932463,600.0
dry,gas_flow,0.55,0.03644137278106509,walk,19.433612111056775,23.53841854601905,1311.291633506096,1317.53112134076,1073.0,0,0.0007927744002975338,True,False,False,optimal,19.433612111056775,600.0
dry,gas_flow,0.6,0.039754224852070995,walk,19.776911865211368,21.958044864394164,1278.079249397302,1284.7628744967624,1073.0,0,0.0007515347636594115,True,False,False,optimal,19.776911865211368,600.0
dry,gas_flow,0.65,0.043067076923076916,walk,20.077166642176763,20.576689656669338,1247.5876462926037,1254.6839461862633,1073.0,0,0.0007143722312961282,True,False,False,optimal,20.077166642176763,600.0
dry,gas_flow,0.7,0.04637992899408283,walk,20.34060782405635,19.357636342267995,1219.5155230483163,1226.996683443447,1073.0,0,0.0006807141110952705,True,False,False,optimal,20.34060782405635,600.0
dry,gas_flow,0.75,0.049692781065088745,walk,20.553446798158575,18.25617720310637,1193.1659144313144,1201.008782761755,1073.0,0,0.0006501304130991288,True,False,False,optimal,20.553446798158575,600.0
dry,gas_flow,0.8,0.05300563313609467,walk,20.718343406822132,17.252477932734518,1168.3357461456587,1176.520381283973,1073.0,0,0.0006220914959141686,True,False,False,optimal,20.718343406822132,600.0
dry,gas_flow,0.85,0.05631848520710058,walk,20.837401501986555,16.33093591473427,1144.8491083170447,1153.358898480035,1073.0,0,0.0005964102834084955,True,False,False,optimal,20.837401501986555,600.0
dry,gas_flow,0.9,0.0596313372781065,walk,20.83910427310779,16.685797393771676,1122.8734030767291,1131.7237686883464,1073.0,0,0.05095755175875723,True,False,False,optimal,20.83910427310779,600.0
dry,gas_flow,0.95,0.06294418934911242,walk,21.025708603721604,14.743937334064105,1102.8826949705935,1112.0028279994092,1073.0,0,0.0005509232907996777,True,True,True,optimal,21.025708603721604,600.0
dry,gas_flow,1.0,0.06625704142011833,cold,20.971087971373663,13.970353723642631,1081.6976988150195,1091.1139069785158,1073.0,0,0.0005306867693521857,True,True,True,optimal,20.971087971373663,600.0
dry,gas_flow,1.05,0.06956989349112425,walk,20.912518728290973,13.607098257065884,1066.1313429532815,1075.853768340811,1073.0,0,0.009573886205364071,True,True,True,optimal,20.912518728290973,600.0
dry,gas_flow,1.1,0.07288274556213017,walk,9.606335811192148,19.541277877931186,847.5401521039716,850.2273809339225,1073.0,0,0.9168128182754084,True,False,False,EXC:ValueError,9.606335811192148,600.0
dry,gas_flow,1.15,,walk,,,,,,,,,,False,LADDER_STOPPED,,600.0
dry,gas_flow,1.2,0.07950844970414199,walk,20.76707910676541,38.61609455531812,1267.1966648445348,1276.0976940153355,1073.0,0,26.586783765396856,True,False,False,optimal,20.76707910676541,600.0
dry,gas_flow,1.25,,walk,,,,,,,,,,False,LADDER_STOPPED,,600.0
dry,gas_flow,1.3,0.08613415384615383,walk,20.862671536660894,44.39841057064683,1185.5061830019656,1195.111150353105,1073.0,0,22.464360384326156,True,False,False,optimal,20.862671536660894,600.0
dry,gas_flow,1.4,,walk,,,,,,,,,,False,LADDER_STOPPED,,600.0
dry,gas_flow,1.5,0.09938556213017749,walk,17.51692633617753,35.58857218275722,956.1897122895043,968.7408863785836,1073.0,0,4.422529969584166,True,False,False,optimal,17.51692633617753,600.0
dry,gas_flow,1.75,0.11594982248520708,walk,13.96754595990247,46.364595227577475,956.2397325466169,968.8345281169829,1073.0,0,12.178694862724136,True,False,False,optimal,13.96754595990247,600.0
dry,gas_flow,2.0,0.13251408284023666,walk,18.976329435368434,22.29489295307862,875.8550103119418,885.2258459302723,1073.0,0,6.6549013878921865,True,False,False,optimal,18.976329435368434,600.0
