reactor,knob,value,abs_flow,path,X_solid,X_gas,T_gas_out,T_solid_out,Ts_in,n_bad,err_mass,gas_feasible,banner_ok,valid,term,X_prod,Tg_in
dry,porosity,0.15,,walk,19.71354002269542,14.354324057469437,1064.7250284238169,1074.2016172573888,1073.0,0,0.013060561954053017,True,False,False,optimal,19.71354002269542,600.0
dry,porosity,0.17,,walk,20.292663581538974,14.373957624408717,1072.6378184765988,1082.0803516801457,1073.0,0,0.011364512173890676,True,False,False,optimal,20.292663581538974,600.0
dry,porosity,0.19,,walk,19.307151218558452,15.275050022372891,1063.1917341338533,1072.5550667995544,1073.0,0,0.08772869321302541,True,False,False,optimal,19.307151218558452,600.0
dry,porosity,0.2,,walk,19.032174189539457,14.162998299505444,1057.0911054828782,1066.3250038378026,1073.0,0,0.06829953874488108,True,False,False,optimal,19.032174189539457,600.0
dry,porosity,0.21,,walk,15.99698226640531,20.613314103049557,1052.461518919313,1061.6082999445516,1073.0,0,0.04265985211929123,True,False,False,optimal,15.99698226640531,600.0
dry,porosity,0.23,,walk,20.626882788473093,18.71118564022598,1081.6146088137612,1091.104093351122,1073.0,0,0.44185873350423477,True,False,False,optimal,20.626882788473093,600.0
dry,porosity,0.25,,walk,20.971583567530853,13.970683875919557,1081.7050997551057,1091.1306303970712,1073.0,0,0.0005306867695689367,True,True,True,optimal,20.971583567530853,600.0
dry,porosity,0.27,,cold,20.971087971373663,13.970353723642631,1081.6976988150195,1091.1139069785158,1073.0,0,0.0005306867693521857,True,True,True,optimal,20.971087971373663,600.0
dry,porosity,0.29,,walk,21.012143705433513,14.07075268146868,1083.0805552077911,1092.490996120994,1073.0,0,0.0003280778663332571,True,True,True,optimal,21.012143705433513,600.0
dry,porosity,0.3,,walk,20.896947885874265,13.920963667152646,1080.3272133706625,1089.7339626437138,1073.0,0,0.0005306867693688588,True,True,True,optimal,20.896947885874265,600.0
dry,porosity,0.32,,walk,20.878461078703285,13.908648271991552,1079.9864757458806,1089.3853100293004,1073.0,0,0.0005306867693688588,True,True,True,optimal,20.878461078703285,600.0
dry,porosity,0.35,,walk,20.847403853916013,13.887958815319188,1079.413630189409,1088.801069900645,1073.0,0,0.0005306867693688588,True,True,True,optimal,20.847403853916013,600.0
dry,porosity,0.37,,walk,20.823997148236867,13.872365921031088,1078.9815920041847,1088.361806155068,1073.0,0,0.00053068676895203,True,True,True,optimal,20.823997148236867,600.0
dry,porosity,0.4,,walk,20.784094688973198,13.845784015928794,1078.2445811549665,1087.6146046774115,1073.0,0,0.0005306867693521857,True,True,True,optimal,20.784094688973198,600.0
